	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
122	Mantri Royale	Mantri	Talaghattapura	On Hold	Mantri Royale is a residential complex located at Talaghattapura, Bangalore. The project, presently under construction is situated off the Kanakapura Road and the NICE Express Highway in Bengaluru. The project is set in a convenient neighborhood containing banks, ATMs, schools, bus stations, play schools, petrol pumps, parks and restaurants. The project comes with several luxurious amenities and conveniences including gymnasium, swimming pool, play area for kids, clubhouse, table tennis and basketball court, jogging track and well pruned gardens. Talaghattapura is one of the popular places of Bangalore to own a property. Located in the suburb of Kanakapura Road, it lies in close proximity to prominent areas of the city inlcuding Chikballapur, Jalahalli, Frazer Town, Brookefield, Bommasandra, Vasanth Nagar, JP Nagar Phase 7, Varthur, Jakkur and Mahadevapura.	Possession started from: Dec'17	1715 sq ft(3BHK+3T)	3 BHK	1,218 - 1,715 sq ft	₹ 48.72 L - ₹ 68.60 L	2, 3 BHK	96	
123	Total Environment The Magic Faraway Tree	Total Environment	Talaghattapura	Under Construction	Total Environment The Magic Faraway Tree in Talaghattapura, Bangalore offers residential apartments. The apartments are under construction and the apartments are available only through the builder. Price of the apartments is available on request. Several amenities are present for the community, including a gymnasium, swimming pool, childrens play area, club house, rainwater harvesting, intercom system, indoor games, maintenance staff, community hall, landscaped gardens, power back up and round the clock security amongst others. It is a fast developing part of the city with good connectivity. There are several stores, eateries and shopping avenues located within close proximity to the main road.	Possession started from: Mar'17	7309 sq ft(4BHK+4T)	4 BHK	2,514 - 7,309 sq ft	₹ 1.89 Cr - ₹ 5.48 Cr	3, 4 BHK	240	
124	Sobha The Park And The Plaza	Sobha Limited	Talaghattapura	Under Construction	Sobha Group is back with yet another grand residential project, The Park and The Plaza. Sprawling across 10.76 acres of land,  ft. The Park and The Plaza is equipped with all basic amenities such as car parking, gymnasium, swimming pool, children's play area, club house, intercom facility, multipurpose room, power backup, indoor games, 24x7 security and landscaped gardens. The project is situated in Talaghattapura, Bangalore. Talaghattapura enjoys smooth connectivity to major areas of Bangalore. The presence of several good schools, colleges, hospitals, shopping malls and recreational venues makes this region a popular choice among home buyers.	Possession date: Oct'19	1706 sq ft(3BHK+3T)	3 BHK	1,290 - 1,706 sq ft	₹ 81.27 L - ₹ 1.07 Cr	2, 3 BHK	298	
125	Value Azure	Value Designbuild	Varthur	Under Construction	Azure is brought to you by Value Designbuild Pvt. Ltd. Azure is located in the soon-to-be-buzzing Gunjur – a location neighbouring the vibrant IT hubs of Whitefield and Outer Ring Road. Azure comprises of 2, 3 & 4BHK apartment tower and is thoughtfully designed to cater to the life of today’s professional and their family. The apartments are laid out with attention to detail, aesthetics, convenience and modern comforts. Outside, the pool, a rooftop clubhouse and other leisure amenities provide a well-rounded life.	Possession date: Dec'18	2712 sq ft(4BHK+4T)	4 BHK	1,249 - 2,712 sq ft	₹ 59.02 L - ₹ 1.28 Cr	2, 3, 4 BHK	108	
126	Purvi Symphony	Sai Purvi Developers	Varthur	On Hold	Bangalore has developed a lot in the past recent years. Sai Purvi Developers Symphony Company has an availability of spacious apartments in the Varthur area. The apartments are going to be launched soon and are reserved with lots of amenities like the natural surroundings, the lush green garden and intercom facility along with 24 hours security system. This project offers a luxurious experience of living in a modern society. All the different necessities like bank, hospital, school, bus station, restaurant, markets etc all are present in the neighbourhood. The cost of the apartments is based on the request value.	Possession started from: Dec'17	1605 sq ft(3BHK+3T)	3 BHK	1,100 - 1,605 sq ft	₹ 41.80 L - ₹ 60.99 L	2, 3 BHK	222	
127	Apranje Amara	Apranje	Varthur	On Hold		Possession date: May'18	1595 sq ft(3BHK+3T)	3 BHK	1,200 - 1,595 sq ft	₹ 50.34 L - ₹ 66.91 L	2, 3 BHK	115	
128	ARR Orchids	ARR	Varthur	On Hold	ARR Orchids Bangalore offers well designed 2 and 3 BHK apartments to buyers. The project comes with several amenities and other facilities for residents including a gymnasium, intercom facilities, playing area for children, multipurpose room, power backup facilities and 24 hour security services. Located at Varthur, the project is well connected to several areas including Marathahalli, Madhuranagara, Kotur, Immadihalli and Balagere among others. The Bangalore City railway station lies approximately 16.7 kilometers away from the project while the area is also home to the Wipro Technologies head office.	Possession started from: Jan'18	1700 sq ft(3BHK+3T)	3 BHK	1,030 - 1,700 sq ft	₹ 33.99 L - ₹ 56.10 L	2, 3 BHK	54	
129	Sterling Joy On The Banks	Sterling	Varthur	On Hold		Possession date: Sep'18	1847 sq ft(3BHK+5T + Servant Room)	3 BHK	1,289 - 1,847 sq ft	₹ 70.89 L - ₹ 1.02 Cr	2, 3 BHK	96	
130	Samruddhi Lumbini Heights	Samruddhi Realty	Konanakunte	On Hold	A premium housing project launched by Samruddhi Realty, Lumbini Heights in Konanakunte, Bangalore is offering Apartment starting at Rs 35.15 lacs. It offers 2, 3 BHK Apartment in Kanakapura Road. The project is Pre Launch project and possession in Dec 19. Among the many luxurious amenities that the project boasts are Club House, Indoor Games, Lift Available, Separate Hard Court Area, Landscaped Gardens etc. The Apartment are available from 950 sqft to 1250 sqft at an attractive price points starting at @Rs 3,700 per sqft.	Possession date: Dec'19	1250 sq ft(3BHK+3T)	3 BHK	950 - 1,250 sq ft	₹ 35.15 L - ₹ 46.25 L	2, 3 BHK	250	
131	Oceanus Vista Phase 2	Oceanus Group	Kasavanahalli Off Sarjapur Road	Under Construction	Vista Phase 2 is a premium housing project launched by Oceanus in Kasavanahalli Off Sarjapur Road, Bangalore. These 2, 3 BHK Apartment in Sarjapur Road Before Wipro are available from 1086 sqft to 1732 sqft. Among the many luxurious amenities that the project hosts are Sump Tank, Badminton Court, Split AC, Power Backup, Landscaped Gardens etc. Starting at @Rs 4,690 per sqft, Apartment are available at attractive price points. The Apartment will be available for sale from Rs 51.92 lacs to Rs 80.57 lacs.	Possession date: Jun'19	1732 sq ft(3BHK+3T)	3 BHK	1,086 - 1,732 sq ft	₹ 51.92 L - ₹ 80.57 L	2, 3 BHK	150	RERA ID: PR/KN/170817/001322
132	Prabhavathi Classic	Prabhavathi	Koramangala	On Hold	Prabhavathi Classic located near Sony World Signal, Koramangala and is considered as one of the most quite and best residential areas in Bangalore.This exclusive 2 Bedroom apartment provides an open-plan living and dining area that highlights the space within your home. The master bedroom benefits from full length windows, which floods the room with light and maximises the stunning views over the treetops and out to the city. This apartment is a unique heaven offering contemporary design, spacious living and a most exclusive craftsmanship.	Possession started from: Jun'15	1250 sq ft(2BHK+2T)	2 BHK	950 - 1,250 sq ft	₹ 66.34 L - ₹ 75.02 L	2 BHK	45	
133	Suvastu Kings Square	Suvastu Group	Kasavanahalli Off Sarjapur Road	Under Construction		Possession date: Sep'18	1515 sq ft(3BHK+2T)	3 BHK	1,180 - 1,515 sq ft	₹ 49.56 L - ₹ 63.63 L	2, 3 BHK	80	
134	Keerthi Krishna Viva	Keerthi Estates	Kasavanahalli Off Sarjapur Road	Under Construction	Kasavanahalli Off Sarjapur Road region of Bengaluru is one of the popular areas because of its real estate projects. One of them is the Keerthi Estates Krishna Viva Residency project which is delivering apartments of premium value and quality. The region where this project is available is well acquainted by restaurants, bus stations, ATMs, banks, train stations, parks, schools, petrol pumps, hospitals, etc. The apartments are well engrossed with different quality materials and granite set kitchens. The different amenities offered by this project are a playground for children, 24x7 security services, roof top party area, spacious lobby, excellent fire and safety system, a power backup system and much more. The project is all set for moving in.	Possession date: Jun'19	1780 sq ft(3BHK+3T)	3 BHK	870 - 1,780 sq ft	₹ 46.98 L - ₹ 96.12 L	2, 3 BHK	132	RERA ID: PR/KN/170830/001600
135	Riteway Irene	Riteway Projects	Koramangala	On Hold	Riteway Projects Irene is a residential project under construction in Koramangala in Bangalore. The project features a total of 8 spacious and luxurious residential apartments in 3 & 4 BHK type unit. The apartments are available for purchase directly from the builder. Residents at the Riteway Projects Irene will have access to a variety of amenities and facilities that include car parking area, power backup, rainwater harvesting and round the clock security services. Strategically located in the south-eastern part of Bangalore, Koramangala is one of the largest neighbourhoods and one of the most sought after localities offering easy access to most important parts of the city.	Possession started from: Jun'16	3100 sq ft(4BHK+4T)	4 BHK	1,826 - 3,100 sq ft	₹ 2.19 Cr - ₹ 3.72 Cr	3, 4 BHK	8	
136	Inner Meadow In The Sun	Inner	Kasavanahalli Off Sarjapur Road	Under Construction	Inner Spaces Meadow In The Sun is a residential community located at Kasavanahalli Off Sarjapur Road, Bangalore.The project is set in a very convenient neighbourhood containing schools, hospitals, play schools, banks, ATMs, bus stations, metro stations, office complex, parks, restaurants and petrol pumps. The project comes with a gymnasium, swimming pool, play area for kids, clubhouse and indoor games facilities. Inner Spaces is an esteemed real estate developing company which aims at delivering projects keeping customer satisfactory needs in mind. It has helmed a total of four projects till date.	Possession date: Dec'18	5000 sq ft(4BHK+4T)	4 BHK	2,455 - 5,000 sq ft	₹ 1.35 Cr - ₹ 2.75 Cr	3, 4 BHK	144	RERA ID: PR/KN/170801/000544
137	Sterling Infinia	Sterling	Koramangala	Under Construction		Possession date: Dec'19	3233 sq ft(4BHK+5T + Servant Room)	4 BHK	1,730 - 3,233 sq ft	₹ 1.44 Cr - ₹ 2.62 Cr	3, 4 BHK	78	RERA ID: PR/KN/170729/000310
138	MV Value Plus	MV Varja	Konanakunte	Under Construction	Located in Konanakunte, Bangalore, Value Plus is a premium housing project launched by MV Varja. The project offers Apartment in 2, 3 BHK configurations available from 1055 sqft to 1630 sqft. These units in Kanakapura Road, are available at an attractive price points starting at @Rs 4,500 per sqft and will be available to buyers at a starting price of Rs 47.48 lacs. The project is Under Construction project and possession in Dec 18. Value Plus has many amenities, such as Day Care For Kids, Shopping Mall, Intercom, Children's play area, Library etc.	Possession date: Dec'18	1630 sq ft(3BHK+3T)	3 BHK	1,055 - 1,630 sq ft	₹ 44.84 L - ₹ 69.28 L	2, 3 BHK	157	RERA ID: PR/KN/170831/001773
139	Triangle Skypark	Triangle Group	Kogilu	On Hold	Triangle Group Skypark is a housing complex located in Kogilu, Bangalore. Launching soon, it is available exclusively through resale. Approximate cost of the apartments in this area is Rs.3600 per sq ft, with the units measuring between1080 to 2761 sq ft. The builders of this area are offering 2, 3 and 4 BHK apartments. Several modern amenities like aroma garden and club house facility are provided.Triangle Group is a leading real estate developing company. Kogilu is a town in Bangalore. It hosts many reputed schools (Ryan International School, Mallya Aditi International School) and hospitals (Deeksha Hospital, Maruthi Hospital).		2600 sq ft(4BHK+4T)	4 BHK	1,200 - 2,600 sq ft	Price on request	2, 3, 4 BHK	150	
140	Kolte Patil 24K Grazio	Kolte Patil Developers	Koramangala	Launch		Possession date: Jun'20	2510 sq ft(4BHK+4T)	4 BHK	1,791 - 2,603 sq ft	₹ 1.97 Cr - ₹ 2.86 Cr	3, 4 BHK	93	
141	Prestige Pinewood	Prestige Group	Koramangala	Under Construction	Live in posh Koramangala at Bangalore in Prestige Pinewood. The development of the housing complex is set to commence soon and it has 2, 3 and 4 BHK configurations on offer. Spreading over an expanse of 2.56 acres, the community has amenities such as community hall, club house, kids’ play area, swimming pool, gymnasium and rainwater harvesting on offer for the benefit of home owners.The Prestige Group forayed into real estate in 1986 and has since then worked on 105 projects. Forty nine of their properties are currently undergoing construction. Some of their properties are located in Horamavu and Rajarajeshwari Nagar. Koramangala is towards the southeast of Bangalore and is linked to Indiranagar and Domlur, Madivala and Sarjapur. The main roads passing through the area are the Sarjapur Road, Intermediate Ring Road and the Sarjapur Road. Companies such as Toshiba Software and Texas Instruments are located here. BMTC buses ply through the area.	Possession date: Jun'20	2503 sq ft(4BHK+5T + Servant Room)	4 BHK	1,249 - 2,503 sq ft	Price on request	2, 3, 4 BHK	256	RERA ID: PR/KN/170728/000109
